2026-09-02 19:06:20,040 | INFO | hr_assistant.tracing | Langsmith tracing is ENABLED.
2026-09-02 19:07:10,326 | INFO | hr_assistant.tools | Searching HR policy for: What is the company's sick leave policy?
2026-09-02 19:07:10,884 | INFO | hr_assistant.tools | Found 3 matching chunk(s)
2026-09-02 19:07:12,059 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-02 19:07:12,062 | INFO | hr_assistant.agent | ANSWER: **Sick‑Leave Policy (at a glance)**  

| Item | Details |
|------|---------|
| **Entitlement** | 10 paid sick days per calendar year for each full‑time employee. |
| **Separate from annual leave** | Sick leave is not counted against the 20 days of paid annual leave. |
| **Medical certificate** | Required only when the sick leave extends **more than 2 consecutive days**. |
| **Carry‑over** | The policy does not mention carrying unused sick days forward, so they are generally **use‑by‑end‑of‑year**. |
| **How to take sick leave** | While the document does not specify the exact request method, you should log the sick‑leave request in the HR portal (the same system used for annual‑leave requests) and attach the medical certificate if the absence is longer than two days. |

If you need any additional details—such as how to report a sick day, whether part‑time staff receive a pro‑rated amount, or how sick‑leave accrues for new hires—please let me know, and I can check the relevant sections of the HR handbook.
2026-09-02 19:07:12,062 | INFO | __main__ | User question processed successfully
2026-09-02 19:14:28,522 | INFO | __main__ | Chat message received
2026-09-02 19:14:28,523 | INFO | __main__ | Processing user question
2026-09-02 19:14:28,524 | INFO | hr_assistant.agent | Asking assistant: How to make coffee dont make me angry be friendly 
2026-09-02 19:14:29,493 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-09-02 19:14:29,497 | INFO | hr_assistant.agent | ANSWER: I’m sorry, but I don’t have that information.
2026-09-02 19:14:29,498 | INFO | __main__ | User question processed successfully
